,mean,sd,hpd_3%,hpd_97%
αDEF[58],0.089,0.019,0.054,0.123
αDEF[59],0.759,0.163,0.446,0.974
αDEF[60],0.52,0.124,0.291,0.741
αDEF[61],0.391,0.297,0.001,0.906
αDEF[62],0.699,0.182,0.342,0.963
αDEF[63],0.071,0.023,0.033,0.115
αDEF[64],0.743,0.164,0.416,0.971
αDEF[65],0.809,0.139,0.54,0.993
αDEF[66],0.099,0.027,0.054,0.152
αS[0],0.005,0.006,0.0,0.015
αS[1],0.581,0.198,0.235,0.934
αS[2],0.018,0.01,0.005,0.037
αS[3],0.59,0.192,0.246,0.926
αS[4],0.343,0.181,0.046,0.671
αS[5],0.006,0.007,0.0,0.017
αS[6],0.004,0.008,0.0,0.012
αS[7],0.48,0.207,0.109,0.834
αS[8],0.584,0.199,0.238,0.931
αS[9],0.507,0.196,0.159,0.863
αS[10],0.023,0.011,0.008,0.043
αS[11],0.538,0.185,0.202,0.862
αS[12],0.119,0.037,0.054,0.187
αS[13],0.037,0.012,0.018,0.061
αS[14],0.603,0.191,0.261,0.927
