,mean,sd,hpd_3%,hpd_97%
αN[19],0.579,0.187,0.242,0.912
αN[20],0.587,0.15,0.292,0.84
αN[21],0.017,0.013,0.003,0.04
αN[22],0.685,0.132,0.444,0.919
αN[23],0.66,0.135,0.394,0.876
αN[24],0.784,0.145,0.497,0.973
αN[25],0.212,0.046,0.137,0.308
αN[26],0.04,0.02,0.01,0.079
αN[27],0.008,0.01,0.0,0.023
αN[28],0.107,0.035,0.05,0.171
αN[29],0.648,0.176,0.298,0.911
αN[30],0.852,0.133,0.584,0.996
αN[31],0.317,0.115,0.107,0.524
αN[32],0.036,0.018,0.012,0.069
αN[33],0.192,0.029,0.143,0.248
αN[34],0.051,0.008,0.036,0.065
αN[35],0.773,0.138,0.514,0.977
αN[36],0.194,0.027,0.146,0.242
αN[37],0.027,0.017,0.005,0.057
αN[38],0.819,0.14,0.553,0.992
αN[39],0.425,0.08,0.292,0.583
αN[40],0.741,0.153,0.437,0.971
αN[41],0.739,0.151,0.472,0.971
αN[42],0.09,0.035,0.035,0.152
αN[43],0.825,0.138,0.559,0.992
αN[44],0.384,0.281,0.009,0.898
αN[45],0.163,0.025,0.118,0.209
αN[46],0.861,0.122,0.634,0.997
αN[47],0.766,0.174,0.452,0.994
αN[48],0.648,0.182,0.311,0.941
αN[49],0.117,0.036,0.058,0.185
αN[50],0.056,0.02,0.023,0.093
αN[51],0.636,0.137,0.388,0.881
αN[52],0.708,0.148,0.443,0.945
αN[53],0.587,0.211,0.212,0.935
αN[54],0.795,0.139,0.534,0.973
αN[55],0.027,0.021,0.002,0.062
αN[56],0.836,0.129,0.592,0.992
αN[57],0.725,0.145,0.463,0.962
αN[58],0.13,0.038,0.071,0.204
αN[59],0.538,0.111,0.331,0.747
αN[60],0.701,0.134,0.463,0.926
αN[61],0.098,0.024,0.06,0.147
αN[62],0.2,0.033,0.142,0.265
αN[63],0.079,0.023,0.041,0.121
αN[64],0.772,0.144,0.511,0.979
αN[65],0.733,0.147,0.456,0.955
αN[66],0.771,0.144,0.495,0.975
αMN[0],0.106,0.011,0.084,0.126
αMN[1],0.59,0.17,0.291,0.883
αMN[2],0.649,0.18,0.325,0.942
αMN[3],0.744,0.143,0.48,0.964
αMN[4],0.238,0.067,0.123,0.36
αMN[5],0.38,0.063,0.259,0.495
αMN[6],0.111,0.028,0.062,0.161
